election_ym,prv_code,eligible_voters,province_name,source_file
200403,1,247377,Araba - Álava,PROV_02_200403_1.xlsx
200403,2,298780,Albacete,PROV_02_200403_1.xlsx
200403,3,1154729,Alicante / Alacant,PROV_02_200403_1.xlsx
200403,4,427310,Almería,PROV_02_200403_1.xlsx
200403,5,143641,Ávila,PROV_02_200403_1.xlsx
200403,6,538650,Badajoz,PROV_02_200403_1.xlsx
200403,7,687834,Illes Balears,PROV_02_200403_1.xlsx
200403,8,4007330,Barcelona,PROV_02_200403_1.xlsx
200403,9,303177,Burgos,PROV_02_200403_1.xlsx
200403,10,346760,Cáceres,PROV_02_200403_1.xlsx
200403,11,927177,Cádiz,PROV_02_200403_1.xlsx
200403,12,401559,Castellón / Castelló,PROV_02_200403_1.xlsx
200403,13,393160,Ciudad Real,PROV_02_200403_1.xlsx
200403,14,633155,Córdoba,PROV_02_200403_1.xlsx
200403,15,1053738,A Coruña,PROV_02_200403_1.xlsx
200403,16,165576,Cuenca,PROV_02_200403_1.xlsx
200403,17,472443,Girona,PROV_02_200403_1.xlsx
200403,18,694304,Granada,PROV_02_200403_1.xlsx
200403,19,151106,Guadalajara,PROV_02_200403_1.xlsx
200403,20,581818,Gipuzkoa,PROV_02_200403_1.xlsx
200403,21,378428,Huelva,PROV_02_200403_1.xlsx
200403,22,176971,Huesca,PROV_02_200403_1.xlsx
200403,23,525955,Jaén,PROV_02_200403_1.xlsx
200403,24,450279,León,PROV_02_200403_1.xlsx
200403,25,312357,Lleida,PROV_02_200403_1.xlsx
200403,26,234776,La Rioja,PROV_02_200403_1.xlsx
200403,27,347433,Lugo,PROV_02_200403_1.xlsx
200403,28,4458540,Madrid,PROV_02_200403_1.xlsx
200403,29,1033409,Málaga,PROV_02_200403_1.xlsx
200403,30,941145,Murcia,PROV_02_200403_1.xlsx
200403,31,466181,Navarra,PROV_02_200403_1.xlsx
200403,32,355008,Ourense,PROV_02_200403_1.xlsx
200403,33,986352,Asturias,PROV_02_200403_1.xlsx
200403,34,152681,Palencia,PROV_02_200403_1.xlsx
200403,35,736157,Las Palmas,PROV_02_200403_1.xlsx
200403,36,848707,Pontevedra,PROV_02_200403_1.xlsx
200403,37,312421,Salamanca,PROV_02_200403_1.xlsx
200403,38,721781,Santa Cruz de Tenerife,PROV_02_200403_1.xlsx
200403,39,479189,Cantabria,PROV_02_200403_1.xlsx
200403,40,124638,Segovia,PROV_02_200403_1.xlsx
200403,41,1432031,Sevilla,PROV_02_200403_1.xlsx
200403,42,78531,Soria,PROV_02_200403_1.xlsx
200403,43,516584,Tarragona,PROV_02_200403_1.xlsx
200403,44,116141,Teruel,PROV_02_200403_1.xlsx
200403,45,450322,Toledo,PROV_02_200403_1.xlsx
200403,46,1884604,Valencia / València,PROV_02_200403_1.xlsx
200403,47,431774,Valladolid,PROV_02_200403_1.xlsx
200403,48,974742,Bizkaia,PROV_02_200403_1.xlsx
200403,49,182379,Zamora,PROV_02_200403_1.xlsx
200403,50,726811,Zaragoza,PROV_02_200403_1.xlsx
200403,51,56751,Ceuta,PROV_02_200403_1.xlsx
200403,52,49129,Melilla,PROV_02_200403_1.xlsx
200803,1,247930,Araba - Álava,PROV_02_200803_1.xlsx
