analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value
balance,blank_vote_share,0.025,hc1,none,0,0,925,549,376,0.010059437007126682,0.009522743464212852,0.0001783516929583128,0.0005959421289901375,-0.0009896948798623567,0.001346398265778982,0.7647288040480076
balance,blank_vote_share,0.05,hc1,none,0,0,2128,1400,728,0.010011720026584113,0.00958425317381709,-0.00014259208681086086,0.000403767150319265,-0.0009339757014366202,0.0006487915278148985,0.7239728009515429
balance,blank_vote_share,0.075,hc1,none,0,0,3801,2772,1029,0.010455632313039373,0.00951013305599674,-7.361787529119778e-05,0.0003232777133586192,-0.0007072421934740914,0.0005600064428916958,0.8198613392713763
balance,blank_vote_share,0.1,hc1,none,0,0,5392,4085,1307,0.010475683832041149,0.009573853936854617,-0.000156803157650818,0.0002784987388759337,-0.0007026606858476481,0.00038905437054601207,0.5734144247508195
balance,female,0.025,hc1,none,0,0,686,406,280,0.3448275862068966,0.3964285714285714,0.23012713254750428,0.08703267966446646,0.05954308040515002,0.40071118468985856,0.008189726471279135
balance,female,0.05,hc1,none,0,0,1595,1055,540,0.3933649289099526,0.387037037037037,0.15764757322413275,0.060121027203024965,0.039810359906203824,0.27548478654206165,0.008737175425744814
balance,female,0.075,hc1,none,0,0,2811,2042,769,0.4015670910871694,0.40052015604681407,0.06358620641023283,0.04834830152989913,-0.031176464588369465,0.15834887740883513,0.18845297885164913
balance,female,0.1,hc1,none,0,0,3987,3009,978,0.4134263875041542,0.40899795501022496,0.033415166507926364,0.04134426684660693,-0.04761959651142321,0.11444992952727594,0.41896529451488407
balance,list_pos,0.025,hc1,none,0,0,925,549,376,2.2586520947176685,2.672872340425532,-0.39178700467879635,0.43888283763506114,-1.2519973664435162,0.4684233570859234,0.37202237177331154
balance,list_pos,0.05,hc1,none,0,0,2128,1400,728,2.3114285714285714,2.7884615384615383,-0.08474852634541857,0.3076332580422857,-0.6877097121082985,0.5182126594174614,0.7829432033135988
balance,list_pos,0.075,hc1,none,0,0,3801,2772,1029,2.1706349206349205,2.7201166180758016,0.07401428339100422,0.23378743133268537,-0.3842090820210591,0.5322376488030676,0.7515562810716794
balance,list_pos,0.1,hc1,none,0,0,5392,4085,1307,2.203671970624235,2.6465187452180565,0.25984743807822436,0.19420974314320766,-0.12080365848246266,0.6404985346389114,0.18090516222715114
balance,log_p_votes,0.025,hc1,none,0,0,925,549,376,10.260853498106068,11.632920318691303,-0.5360618647448461,0.170306686249994,-0.8698629697948344,-0.2022607596948578,0.0016460178084172217
balance,log_p_votes,0.05,hc1,none,0,0,2128,1400,728,9.875274427852638,11.751252194980985,-0.1252156504864788,0.12138841031548007,-0.3631369347048198,0.11270563373186213,0.30229287403942884
balance,log_p_votes,0.075,hc1,none,0,0,3801,2772,1029,9.080307134402284,11.810645628003394,0.028180008025766645,0.10660213030229715,-0.18076016736673575,0.23712018341826904,0.7915121518510839
balance,log_p_votes,0.1,hc1,none,0,0,5392,4085,1307,8.696485388178651,11.851935915603606,0.264899636261775,0.09586903530344901,0.07699632706701492,0.45280294545653504,0.0057248077327862745
balance,p_seats,0.025,hc1,none,0,0,925,549,376,1.2440801457194899,2.7047872340425534,0.587601828402061,0.4388944651702567,-0.2726313233316422,1.4478349801357642,0.18062843203838286
balance,p_seats,0.05,hc1,none,0,0,2128,1400,728,1.1171428571428572,2.934065934065934,0.7548846158542761,0.30792693895810347,0.1513478154963933,1.3584214162121588,0.014225997209609487
balance,p_seats,0.075,hc1,none,0,0,3801,2772,1029,0.8625541125541125,3.0301263362487854,0.8962064290429108,0.23399165682871864,0.4375827816586223,1.3548300764271994,0.00012810235281301985
balance,p_seats,0.1,hc1,none,0,0,5392,4085,1307,0.7495716034271726,3.1162968630451418,1.0261315188409725,0.19481108739860845,0.6443017875396999,1.4079612501422452,1.384329486597835e-07
