analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,donut_radius
donut_hole,runs_next,0.025,cluster_prv_election,cluster_prv_election,191,205,889,530,359,0.3283018867924528,0.5988857938718662,0.3313985088336746,0.0738466295929581,0.1858927874335953,0.47690423023375395,1.1404443318374646e-05,0.001
donut_hole,runs_next,0.025,cluster_prv_election,cluster_prv_election,184,196,848,510,338,0.3352941176470588,0.5887573964497042,0.21117774409019063,0.0877151092224766,0.03832956108096472,0.3840259270994165,0.016866834478762804,0.0025
donut_hole,runs_next,0.025,cluster_prv_election,cluster_prv_election,170,182,761,463,298,0.3282937365010799,0.5838926174496645,0.21571267040009273,0.11203923997833722,-0.005089364327933943,0.4365147051281194,0.05547137008871594,0.005
donut_hole,runs_next,0.05,cluster_prv_election,cluster_prv_election,282,286,2091,1380,711,0.3101449275362319,0.5949367088607594,0.2719749410012027,0.05052105745859014,0.17255838669028573,0.3713914953121196,1.4671594184001435e-07,0.001
donut_hole,runs_next,0.05,cluster_prv_election,cluster_prv_election,279,282,2050,1360,690,0.3125,0.5898550724637681,0.21323352845630728,0.05645653431230822,0.10213403954540716,0.3243330173672074,0.00019130820779955648,0.0025
donut_hole,runs_next,0.05,cluster_prv_election,cluster_prv_election,275,276,1963,1313,650,0.3092155369383092,0.5876923076923077,0.21307088175979638,0.061865220025112716,0.09132776716956967,0.33481399635002307,0.0006542520172625466,0.005
donut_hole,runs_next,0.075,cluster_prv_election,cluster_prv_election,318,323,3758,2747,1011,0.2890425919184565,0.5895153313550939,0.26792163682824194,0.040105635689667865,0.18902580289307372,0.3468174707634102,1.0179701526169538e-10,0.001
donut_hole,runs_next,0.075,cluster_prv_election,cluster_prv_election,317,319,3717,2727,990,0.29006233956729005,0.5858585858585859,0.23232484334886364,0.04385299529860203,0.146056229980643,0.3185934567170843,2.154139082666262e-07,0.0025
donut_hole,runs_next,0.075,cluster_prv_election,cluster_prv_election,317,315,3630,2680,950,0.2880597014925373,0.5842105263157895,0.23416212698074182,0.046280803441656054,0.14311747401478764,0.325206779946696,7.010212019764595e-07,0.005
donut_hole,runs_next,0.1,cluster_prv_election,cluster_prv_election,332,339,5342,4056,1286,0.27933925049309666,0.5894245723172629,0.26960077610757355,0.034489842591574595,0.20175972269343395,0.33744182952171314,6.88338275267597e-14,0.001
donut_hole,runs_next,0.1,cluster_prv_election,cluster_prv_election,332,337,5301,4036,1265,0.27998017839444994,0.5865612648221344,0.24442205150346688,0.036987049019630396,0.17166902685541824,0.3171750761515155,1.508706493069667e-10,0.0025
donut_hole,runs_next,0.1,cluster_prv_election,cluster_prv_election,332,336,5214,3989,1225,0.27851591877663573,0.5853061224489796,0.24668211298666035,0.03864477151064763,0.17066837064295037,0.3226958553303703,5.698881366811293e-10,0.005
donut_hole,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,524,349,889,530,359,0.3283018867924528,0.5988857938718662,0.3313985088336746,0.07870322083357993,0.17691219110055165,0.48588482656679755,2.830731621217275e-05,0.001
donut_hole,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,506,330,848,510,338,0.3352941176470588,0.5887573964497042,0.21117774409019063,0.09244068189828465,0.02971357476675074,0.39264191341363053,0.022613935551055064,0.0025
donut_hole,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,462,293,761,463,298,0.3282937365010799,0.5838926174496645,0.21571267040009273,0.1213242923057366,-0.0224892603776162,0.4539146011778017,0.07583924567106415,0.005
donut_hole,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1127,627,2091,1380,711,0.3101449275362319,0.5949367088607594,0.2719749410012027,0.05305391264634028,0.1679892722143757,0.37596060978802964,2.9535362489063743e-07,0.001
donut_hole,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1109,610,2050,1360,690,0.3125,0.5898550724637681,0.21323352845630728,0.05707729849156631,0.10136202341283732,0.32510503349977726,0.00018706519605093952,0.0025
donut_hole,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1073,580,1963,1313,650,0.3092155369383092,0.5876923076923077,0.21307088175979638,0.0635893977921248,0.08843566208723178,0.337706101432361,0.0008059894248584332,0.005
