side,rank_in_side,candidate,election_ym,prv_code,p_code,list_pos,running_variable,abs_running_variable,female,elected_dta
left,1,maria pilar rosa borderias bolea,201904,50,22,2,-7.269675751898796e-05,7.269675751898796e-05,1.0,0.0
left,2,manul jose silva i sanchez,200803,8,61,7,-0.0002839486445465,0.0002839486445465,0.0,0.0
left,3,maria nuria bunaventura puig,200803,8,111,2,-0.0003060998984719,0.0003060998984719,1.0,0.0
left,4,alejandro garcia orta,201911,21,81,1,-0.0004084993446427,0.0004084993446427,0.0,0.0
left,5,jon aiartza zallo,201911,48,22,4,-0.0005318050375,0.0005318050375,0.0,0.0
left,6,maria luisa arru bergareche,200803,48,210,2,-0.0006015402802733,0.0006015402802733,1.0,0.0
left,7,iolanda pineda i ballo,201111,17,141,2,-0.0006521206859648,0.0006521206859648,1.0,0.0
left,8,patricia cristobalina garcia de herrera fernandez,201911,29,116,3,-0.0007489421285009,0.0007489421285009,1.0,0.0
left,9,pau morla florit,201911,7,94,3,-0.0008833343657469,0.0008833343657469,0.0,0.0
left,10,ana belen palomares bastida,201512,18,140,3,-0.0008901507506793,0.0008901507506793,1.0,0.0
left,11,fernando navarro fernandez rodriguz,201904,7,22,2,-0.000987873586946,0.000987873586946,0.0,0.0
left,12,maria isabel bel pozuta fernandez,201904,31,33,1,-0.0009988534196855,0.0009988534196855,1.0,0.0
left,13,jose cano fuster,201904,3,22,3,-0.0010723300925111,0.0010723300925111,0.0,0.0
left,14,tomas fernandez rios,201904,21,117,1,-0.0011972046721261,0.0011972046721261,0.0,0.0
left,15,eduardo madina munoz,201512,28,353,7,-0.0012233444643585,0.0012233444643585,0.0,0.0
left,16,javier maroto aranzabal,201904,1,83,1,-0.0014042095136871,0.0014042095136871,0.0,0.0
left,17,ismal ivan velez cipriano,201911,16,116,1,-0.0014698104777876,0.0014698104777876,0.0,0.0
left,18,begona sanzberro iturriria,201111,31,167,3,-0.0014932088789478,0.0014932088789478,1.0,0.0
left,19,andres bodalo pastrana,201512,23,851,1,-0.0016181175386137,0.0016181175386137,0.0,0.0
left,20,victor daniel dominguz lucena,201111,3,50,1,-0.0017612987057619,0.0017612987057619,0.0,0.0
right,1,nomi villagrasa quro,201904,50,96,3,0.0001090431043941,0.0001090431043941,1.0,1.0
right,2,beatriz isabel alvarez fanjul,201911,48,83,1,0.0001329520491829,0.0001329520491829,1.0,1.0
right,3,antonio gallego burgos,200803,8,248,6,0.0002433843837755,0.0002433843837755,0.0,1.0
right,4,teresa jorda i roura,201111,17,47,1,0.0003260613431644,0.0003260613431644,1.0,1.0
right,5,uxu barkos berruzo,201111,31,61,1,0.0004977376585124,0.0004977376585124,1.0,1.0
right,6,patricia de la heras fernandez,201911,7,116,2,0.0005888883382682,0.0005888883382682,1.0,1.0
right,7,irene lozano domingo,201111,28,168,4,0.0007332106230227,0.0007332106230227,1.0,1.0
right,8,mario cortes carballo,201911,29,83,3,0.0007489421285009,0.0007489421285009,0.0,1.0
right,9,maria de la concepcion de santa ana fernandez,201512,18,122,3,0.0008901507506793,0.0008901507506793,1.0,1.0
right,10,agustin almodobar barcelo,201904,3,83,3,0.0010723300925111,0.0010723300925111,0.0,1.0
right,11,david bravo buno,201512,4,1104,1,0.0011594089662825,0.0011594089662825,0.0,1.0
right,12,sol sanchez maroto,201512,28,519,2,0.001164657227986,0.001164657227986,1.0,1.0
right,13,alejandro garcia orta,201904,21,81,1,0.0011972046721261,0.0011972046721261,0.0,1.0
right,14,josu montalban goicochea,200803,48,223,4,0.0012030816057965,0.0012030816057965,0.0,1.0
right,15,maria del pilar rodriguz gomez,201911,21,94,3,0.0012255030462208,0.0012255030462208,1.0,1.0
right,16,inaki ruiz de pinedo undiano,201904,1,33,1,0.0014042095136871,0.0014042095136871,0.0,1.0
right,17,pau morla florit,201904,7,97,3,0.0014818110040774,0.0014818110040774,0.0,1.0
right,18,monica lafunte de la torre,201512,25,320,1,0.0016680718591876,0.0016680718591876,1.0,1.0
right,19,enriqu victor rivero ortega,201904,34,22,1,0.001682974159222,0.001682974159222,0.0,1.0
right,20,pedro jesus requjo novoa,201911,49,116,1,0.0017145327691539,0.0017145327691539,0.0,1.0
