analysis_type,outcome,bandwidth,se_type,cluster_spec,n_window,n_left,n_right,n_clusters_left,n_clusters_right,reduced_form_tau,reduced_form_se,reduced_form_p_value,first_stage_tau,first_stage_se,first_stage_p_value,fuzzy_tau,fuzzy_se,fuzzy_ci95_low,fuzzy_ci95_high,fuzzy_p_value,first_stage_f_stat,weak_first_stage_flag
fuzzy_wald,runs_next,0.025,cluster_prv_election,cluster_prv_election,925,549,376,198,213,0.3471111602607967,0.06338277915627762,1.1213349782046578e-07,0.979152641723021,0.01563610784949482,0.0,0.3545015817451945,0.06497934268063195,0.22714207009115592,0.4818610933992331,4.880657100692076e-08,3921.4211362117617,0
fuzzy_wald,runs_next,0.05,cluster_prv_election,cluster_prv_election,2128,1400,728,286,291,0.2857873321463976,0.04794526572222699,6.889468107118546e-09,0.9790139792103655,0.01435684708396133,0.0,0.2919134335312582,0.049159753184313607,0.19556031729000353,0.38826654977251285,2.8841915522548334e-09,4650.071564927016,0
fuzzy_wald,runs_next,0.075,cluster_prv_election,cluster_prv_election,3801,2772,1029,323,328,0.2770446419130011,0.039411257881765686,1.1727951942930304e-11,0.9814298803110129,0.011059409579675165,0.0,0.28228674047014574,0.040282770508165526,0.2033325102741413,0.3612409706661502,2.4238389073616418e-12,7875.074445673776,0
fuzzy_wald,runs_next,0.1,cluster_prv_election,cluster_prv_election,5392,4085,1307,340,347,0.2762589869917928,0.03414843032156218,9.992007221626409e-15,0.9837107926296931,0.009267187790376318,0.0,0.28083354280711587,0.034814561268468144,0.2125970027209183,0.3490700828933134,6.661338147750939e-16,11267.79520835297,0
fuzzy_wald,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,925,549,376,541,364,0.3471111602607967,0.07236820279349344,1.9099926658050492e-06,0.979152641723021,0.01262224150988728,0.0,0.3545015817451945,0.07405015578803355,0.20936327640064878,0.4996398870897403,1.6902560473486261e-06,6017.662528668095,0
fuzzy_wald,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,2128,1400,728,1144,641,0.2857873321463976,0.05067735155463801,1.7069308189121557e-08,0.9790139792103655,0.012440118647442936,0.0,0.2919134335312582,0.05189639455802966,0.19019650019752005,0.39363036686499636,1.8558638625876256e-08,6193.39445945933,0
fuzzy_wald,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,3801,2772,1029,2208,824,0.2770446419130011,0.039946676198196016,4.051869950671971e-12,0.9814298803110129,0.009832317534254642,0.0,0.28228674047014574,0.040800656504804356,0.2023174537207292,0.3622560272195623,4.558575739110893e-12,9963.381531374274,0
fuzzy_wald,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,5392,4085,1307,3029,940,0.2762589869917928,0.03401469002124669,4.440892098500626e-16,0.9837107926296931,0.008140645894596846,0.0,0.28083354280711587,0.034655949334679435,0.21290788211114417,0.34875920350308753,4.440892098500626e-16,14602.161397322488,0
fuzzy_wald,runs_next,0.025,hc1,none,925,549,376,0,0,0.3471111602607967,0.0722774083024432,1.5670865887162932e-06,0.979152641723021,0.012604090491008062,0.0,0.3545015817451945,0.07395719936944516,0.20954547098108203,0.49945769250930705,1.6403193399128213e-06,6035.006954172355,0
fuzzy_wald,runs_next,0.05,hc1,none,2128,1400,728,0,0,0.2857873321463976,0.051455385523719234,2.7907751665168234e-08,0.9790139792103655,0.010288574590795135,0.0,0.2919134335312582,0.052647830641517096,0.18872368547388468,0.3951031815886317,2.945542720844685e-08,9054.560296657168,0
fuzzy_wald,runs_next,0.075,hc1,none,3801,2772,1029,0,0,0.2770446419130011,0.04114538695546036,1.6584733586455513e-11,0.9814298803110129,0.007877194047886518,0.0,0.28228674047014574,0.041985097375592154,0.19999594961398512,0.3645775313263063,1.7741141888905076e-11,15522.99309643992,0
fuzzy_wald,runs_next,0.1,hc1,none,5392,4085,1307,0,0,0.2762589869917928,0.03510260109958105,3.552713678800501e-15,0.9837107926296931,0.006333849094298161,0.0,0.28083354280711587,0.03572964740612914,0.21080343389110273,0.350863651723129,3.774758283725532e-15,24121.22992839732,0
fuzzy_wald,wins_next,0.025,cluster_prv_election,cluster_prv_election,925,549,376,198,213,0.1854935544967964,0.06520626168622898,0.004840548596980909,0.979152641723021,0.01563610784949482,0.0,0.18944293932596887,0.06666326127827459,0.05878294722055069,0.320102931431387,0.004486113617870879,3921.4211362117617,0
fuzzy_wald,wins_next,0.05,cluster_prv_election,cluster_prv_election,2128,1400,728,286,291,0.18902831128755712,0.04658115491861832,6.2834849017257e-05,0.9790139792103655,0.01435684708396133,0.0,0.19308029844478827,0.04766383728583405,0.09965917736455353,0.286501419525023,5.102622631691922e-05,4650.071564927016,0
fuzzy_wald,wins_next,0.075,cluster_prv_election,cluster_prv_election,3801,2772,1029,323,328,0.20568065446044614,0.036539165461439725,3.84325884450476e-08,0.9814298803110129,0.011059409579675165,0.0,0.2095724397501189,0.03730536630670565,0.13645392178897583,0.28269095771126196,1.934535931447101e-08,7875.074445673776,0
fuzzy_wald,wins_next,0.1,cluster_prv_election,cluster_prv_election,5392,4085,1307,340,347,0.23753732889704318,0.03160234381564862,4.840572387365683e-13,0.9837107926296931,0.009267187790376318,0.0,0.24147069512376637,0.03220608374658891,0.1783467709804521,0.30459461926708065,6.505906924303417e-14,11267.79520835297,0
fuzzy_wald,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,925,549,376,541,364,0.1854935544967964,0.06495047883949628,0.004396888343923155,0.979152641723021,0.01262224150988728,0.0,0.18944293932596887,0.0663782926825109,0.05934148566824751,0.3195443929836902,0.004317398081155721,6017.662528668095,0
fuzzy_wald,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,2128,1400,728,1144,641,0.18902831128755712,0.04511527425583735,2.790822235421153e-05,0.9790139792103655,0.012440118647442936,0.0,0.19308029844478827,0.04614762381753592,0.10263095576241787,0.28352964112715867,2.864612528230559e-05,6193.39445945933,0
fuzzy_wald,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,3801,2772,1029,2208,824,0.20568065446044614,0.03516483724030492,4.944084919245029e-09,0.9814298803110129,0.009832317534254642,0.0,0.2095724397501189,0.03589167095739427,0.13922476467362616,0.27992011482661167,5.2506525793916126e-09,9963.381531374274,0
fuzzy_wald,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,5392,4085,1307,3029,940,0.23753732889704318,0.02970966491241224,1.3322676295501878e-15,0.9837107926296931,0.008140645894596846,0.0,0.24147069512376637,0.030267660862133356,0.182146079833985,0.30079531041354773,1.5543122344752192e-15,14602.161397322488,0
fuzzy_wald,wins_next,0.025,hc1,none,925,549,376,0,0,0.1854935544967964,0.06494246394111992,0.004286433129372824,0.979152641723021,0.012604090491008062,0.0,0.18944293932596887,0.06636998355488823,0.05935777155838795,0.3195281070935498,0.004312544804738083,6035.006954172355,0
fuzzy_wald,wins_next,0.05,hc1,none,2128,1400,728,0,0,0.18902831128755712,0.04552076603799552,3.287576005672754e-05,0.9790139792103655,0.010288574590795135,0.0,0.19308029844478827,0.04654079733715075,0.10186033566397282,0.2843002612256037,3.3447872690883784e-05,9054.560296657168,0
fuzzy_wald,wins_next,0.075,hc1,none,3801,2772,1029,0,0,0.20568065446044614,0.03620121967795288,1.3344466420761592e-08,0.9814298803110129,0.007877194047886518,0.0,0.2095724397501189,0.036924533889837484,0.13720035332603744,0.2819445261742004,1.3812565979876013e-08,15522.99309643992,0
fuzzy_wald,wins_next,0.1,hc1,none,5392,4085,1307,0,0,0.23753732889704318,0.030857892244192203,1.3766765505351941e-14,0.9837107926296931,0.006333849094298161,0.0,0.24147069512376637,0.03140737271777584,0.17991224459692573,0.303029145650607,1.4876988529977098e-14,24121.22992839732,0
