analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,subgroup,median_seats
heterogeneity_high_magnitude,runs_next,0.025,cluster_prv_election,cluster_prv_election,75,70,548,361,187,0.3157894736842105,0.5775401069518716,0.35361497171689693,0.0906696217365404,0.17317667408003087,0.534053269353763,0.0001991145164195185,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.05,cluster_prv_election,cluster_prv_election,88,86,1344,975,369,0.3046153846153846,0.5962059620596206,0.2639764679488903,0.06913703095284908,0.12658114705177448,0.4013717888460061,0.00024974032724833783,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.075,cluster_prv_election,cluster_prv_election,89,89,2402,1876,526,0.2777185501066098,0.5931558935361216,0.25926764819956305,0.055550359952784255,0.14887298087767165,0.36966231552145445,1.0854390796843916e-05,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.1,cluster_prv_election,cluster_prv_election,89,89,3055,2383,672,0.2706672261854805,0.6026785714285714,0.25293984946940773,0.047356424565791734,0.15882890689516801,0.3470507920436474,7.152899148543668e-07,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,353,175,548,361,187,0.3157894736842105,0.5775401069518716,0.35361497171689693,0.10065186660400671,0.1558250179672271,0.5514049254665667,0.00048603175638795015,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,719,282,1344,975,369,0.3046153846153846,0.5962059620596206,0.2639764679488903,0.06834906965501295,0.1298125325678976,0.398140403329883,0.00012142638550560747,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,1314,325,2402,1876,526,0.2777185501066098,0.5931558935361216,0.25926764819956305,0.052704298433896395,0.1559672232691261,0.36256807313,8.685937431529567e-07,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,1352,340,3055,2383,672,0.2706672261854805,0.6026785714285714,0.25293984946940773,0.045077097073741274,0.16458873920487482,0.34129095973394064,2.0084486518356925e-08,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.025,hc1,none,0,0,548,361,187,0.3157894736842105,0.5775401069518716,0.35361497171689693,0.10050389997938555,0.15662732775730126,0.5506026156764926,0.00043412403618114936,high_magnitude,8.0
heterogeneity_high_magnitude,runs_next,0.05,hc1,none,0,0,1344,975,369,0.3046153846153846,0.5962059620596206,0.2639764679488903,0.07046808899567895,0.12585901351735954,0.4020939223804211,0.0001796460506511277,high_magnitude,8.0
