analysis_type,outcome,bandwidth,se_type,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value
local_quadratic,runs_next,0.025,cluster_prv_election,925,549,376,0.32786885245901637,0.6037234042553191,0.46351344459519783,0.09388281838095763,0.2795031205685209,0.6475237686218748,7.927298455445708e-07
local_quadratic,runs_next,0.05,cluster_prv_election,2128,1400,728,0.31,0.5975274725274725,0.3299133223222212,0.06817863173523282,0.19628320412116487,0.46354344052327756,1.3052367546784183e-06
local_quadratic,runs_next,0.075,cluster_prv_election,3801,2772,1029,0.2886002886002886,0.5918367346938775,0.3004791157817527,0.05785224216485644,0.18708872113863406,0.4138695104248713,2.0592699012667026e-07
local_quadratic,runs_next,0.1,cluster_prv_election,5392,4085,1307,0.2793145654834761,0.5914307574598316,0.28498615024829294,0.05039249913519513,0.18621685194331047,0.38375544855327537,1.555482320725332e-08
local_quadratic,runs_next,0.025,cluster_prv_election_party,925,549,376,0.32786885245901637,0.6037234042553191,0.46351344459519783,0.10785040337543694,0.2521266539793414,0.6749002352110542,1.7254512820086276e-05
local_quadratic,runs_next,0.05,cluster_prv_election_party,2128,1400,728,0.31,0.5975274725274725,0.3299133223222212,0.07554518458897845,0.18184476052782345,0.47798188411661896,1.259074975012986e-05
local_quadratic,runs_next,0.075,cluster_prv_election_party,3801,2772,1029,0.2886002886002886,0.5918367346938775,0.3004791157817527,0.06147968229041754,0.17997893849253432,0.42097929307097104,1.021483802432499e-06
local_quadratic,runs_next,0.1,cluster_prv_election_party,5392,4085,1307,0.2793145654834761,0.5914307574598316,0.28498615024829294,0.051815882294313144,0.18342702095143917,0.3865452795451467,3.798412340216828e-08
local_quadratic,runs_next,0.025,hc1,925,549,376,0.32786885245901637,0.6037234042553191,0.46351344459519783,0.10769681559156775,0.2524276860357251,0.6745992031546706,1.678377029090683e-05
local_quadratic,runs_next,0.05,hc1,2128,1400,728,0.31,0.5975274725274725,0.3299133223222212,0.07581189003743574,0.18132201784884716,0.47850462679559524,1.3506390541762059e-05
local_quadratic,runs_next,0.075,hc1,3801,2772,1029,0.2886002886002886,0.5918367346938775,0.3004791157817527,0.06173180028594102,0.17948478722130828,0.4214734443421971,1.1302274105506882e-06
local_quadratic,runs_next,0.1,hc1,5392,4085,1307,0.2793145654834761,0.5914307574598316,0.28498615024829294,0.052925801095222505,0.18125158010165682,0.38872072039492905,7.259158030237245e-08
local_quadratic,wins_next,0.025,cluster_prv_election,925,549,376,0.08561020036429873,0.3617021276595745,0.313303578389382,0.10049840552542413,0.11632670355955069,0.5102804532192133,0.0018239318328832077
local_quadratic,wins_next,0.05,cluster_prv_election,2128,1400,728,0.055714285714285716,0.4024725274725275,0.18304744347243543,0.06955607794044247,0.046717530709168203,0.3193773562357026,0.008497066203618342
local_quadratic,wins_next,0.075,cluster_prv_election,3801,2772,1029,0.03499278499278499,0.4305150631681244,0.17750095706170085,0.056936964279668864,0.06590450707354988,0.2890974070498518,0.0018239226276903775
local_quadratic,wins_next,0.1,cluster_prv_election,5392,4085,1307,0.026438188494492042,0.4452945677123183,0.17023395483244586,0.04706579516591081,0.07798499630726066,0.2624829133576311,0.00029811131967827365
local_quadratic,wins_next,0.025,cluster_prv_election_party,925,549,376,0.08561020036429873,0.3617021276595745,0.313303578389382,0.09913660476495155,0.11899583305007697,0.507611323728687,0.0015759494608109659
local_quadratic,wins_next,0.05,cluster_prv_election_party,2128,1400,728,0.055714285714285716,0.4024725274725275,0.18304744347243543,0.06830971155611437,0.04916040882245126,0.3169344781224196,0.007369490513861043
local_quadratic,wins_next,0.075,cluster_prv_election_party,3801,2772,1029,0.03499278499278499,0.4305150631681244,0.17750095706170085,0.055119854582967566,0.06946604207908443,0.2855358720443173,0.0012806875523225791
local_quadratic,wins_next,0.1,cluster_prv_election_party,5392,4085,1307,0.026438188494492042,0.4452945677123183,0.17023395483244586,0.04621339435824447,0.0796557018902867,0.260812207774605,0.0002299181821350249
local_quadratic,wins_next,0.025,hc1,925,549,376,0.08561020036429873,0.3617021276595745,0.313303578389382,0.09902931463129089,0.11920612171205186,0.5074010350667122,0.0015575276742583188
local_quadratic,wins_next,0.05,hc1,2128,1400,728,0.055714285714285716,0.4024725274725275,0.18304744347243543,0.06787466541851798,0.050013099252140175,0.31608178769273065,0.006999987123259777
local_quadratic,wins_next,0.075,hc1,3801,2772,1029,0.03499278499278499,0.4305150631681244,0.17750095706170085,0.05491615841507039,0.06986528656816289,0.28513662755523883,0.001228336107839123
local_quadratic,wins_next,0.1,hc1,5392,4085,1307,0.026438188494492042,0.4452945677123183,0.17023395483244586,0.04682393722663912,0.07845903786823318,0.26200887179665855,0.00027731488338389454
