candidate,person_id,person_id_source,election_ym,prv_code,p_code,list_pos
alex larragoiti gonzalez de mendibil,pid_exact_0000920,person_id_map,200403,1,8,1
josetxu riviere aranda,pid_exact_0015127,person_id_map,200403,1,8,2
itziar aizpurua agirre,pid_exact_0011294,person_id_map,200403,1,8,3
arantza iturbe zurbano,pid_exact_0003448,person_id_map,200403,1,8,4
rafal midon llopis,pid_exact_0026578,person_id_map,200403,1,24,1
francisco fernandez de mazarambroz bernabeu,pid_exact_0008906,person_id_map,200403,1,24,2
luisa esther figura llamas,pid_exact_0017669,person_id_map,200403,1,24,3
esther llamas rodriguz,pid_exact_0007745,person_id_map,200403,1,24,4
migul moya rodriguz,pid_exact_0024159,person_id_map,200403,1,34,1
gabriel perez ledesma,pid_exact_0009654,person_id_map,200403,1,34,2
ignacio mateos de vega,pid_exact_0010516,person_id_map,200403,1,34,3
jose manul funte medina,pid_exact_0014150,person_id_map,200403,1,34,4
pablo jesus larrauri altonaga,pid_exact_0025504,person_id_map,200403,1,35,1
maria jose guadalupe eizmendi apellaniz,pid_exact_0021450,person_id_map,200403,1,35,2
inaki gil basterra,pid_exact_0010626,person_id_map,200403,1,35,3
nerea martinez cerrillo,pid_exact_0024842,person_id_map,200403,1,35,4
emilio olabarria munoz,pid_exact_0007186,person_id_map,200403,1,36,1
juan jose otxoa de eribe elorza,pid_exact_0015771,person_id_map,200403,1,36,2
maria jesus aguirre uribe,pid_exact_0021253,person_id_map,200403,1,36,3
izaskun martinez de lahidalga pinedo,pid_exact_0011390,person_id_map,200403,1,36,4
jose migul fernandez lopez de uralde fote,pid_exact_0014530,person_id_map,200403,1,37,1
nuria busa belacortu,pid_exact_0025050,person_id_map,200403,1,37,2
kontxi bilbao cuvas,pid_exact_0016583,person_id_map,200403,1,37,3
jose vicente cos villegas,pid_exact_0014784,person_id_map,200403,1,37,4
carmelo garmendia lopez,pid_exact_0004710,person_id_map,200403,1,38,1
gregoria eguia bicarregui,pid_exact_0010033,person_id_map,200403,1,38,2
francisco javier hernando gorostiza,pid_exact_0009086,person_id_map,200403,1,38,3
jose antonio fernandez de landa martinez de ilarduya,pid_exact_0013121,person_id_map,200403,1,38,4
alfonso blanco garcia,pid_exact_0000978,person_id_map,200403,1,52,1
pedro bertomeu ruiz,pid_exact_0025948,person_id_map,200403,1,52,2
gema tapias molina,pid_exact_0009734,person_id_map,200403,1,52,3
juan carlos jimenez perez,pid_exact_0015414,person_id_map,200403,1,52,4
victoriano gallirgo lisaso,pid_exact_0029974,person_id_map,200403,1,53,1
guillermo osinaga de domingo,pid_exact_0010175,person_id_map,200403,1,53,2
maria esperanza clavero vieta,pid_exact_0020809,person_id_map,200403,1,53,3
pedro cantero lopez,pid_exact_0025955,person_id_map,200403,1,53,4
francisco javier casado arbonies,pid_exact_0009009,person_id_map,200403,1,65,1
inmaculada rodriguz suarez,pid_exact_0010796,person_id_map,200403,1,65,2
luis fernando ruiz ezqurro,pid_exact_0017425,person_id_map,200403,1,65,3
juan eduardo meneses valencia,pid_exact_0015547,person_id_map,200403,1,65,4
sergio real diaz,pid_exact_0028669,person_id_map,200403,1,90,1
marina lera gimenez,pid_exact_0023147,person_id_map,200403,1,90,2
diego martinez martinez,pid_exact_0006390,person_id_map,200403,1,90,3
sergio finestra aspiroz,pid_exact_0028595,person_id_map,200403,1,90,4
concepcion martinez migul,pid_exact_0005368,person_id_map,200403,1,118,1
maria del carmen suarez bendicho,pid_exact_0020048,person_id_map,200403,1,118,2
maria begona vallejo marcos,pid_exact_0019154,person_id_map,200403,1,118,3
oscar elegido gonzalez quvedo,pid_exact_0025315,person_id_map,200403,1,118,4
jaime mayor oreja,pid_exact_0011479,person_id_map,200403,1,130,1
maria eugenia martin mendizabal,pid_exact_0020872,person_id_map,200403,1,130,2
inaki oyarzabal de migul,pid_exact_0010629,person_id_map,200403,1,130,3
santiago abascal escuza,pid_exact_0028213,person_id_map,200403,1,130,4
ramon jauregui atondo,pid_exact_0026772,person_id_map,200403,1,142,1
pilar unzalu perez de eulate,pid_exact_0026352,person_id_map,200403,1,142,2
juan carlos alonso ramirez de la pecina,pid_exact_0015357,person_id_map,200403,1,142,3
joana madrigal jimenez,pid_exact_0012435,person_id_map,200403,1,142,4
antonio cuadros castano,pid_exact_0002900,person_id_map,200403,2,24,1
maria isabel lucas fernandez,pid_exact_0021177,person_id_map,200403,2,24,2
onofre rios sanchez,pid_exact_0025259,person_id_map,200403,2,24,3
isabel maria navarro medina,pid_exact_0011104,person_id_map,200403,2,24,4
jorge navacerrada sanchez,pid_exact_0012901,person_id_map,200403,2,25,1
patricia elena suarez,pid_exact_0025720,person_id_map,200403,2,25,2
fernando foncillas bernaldez,pid_exact_0008350,person_id_map,200403,2,25,3
maria jose gutierrez redondo,pid_exact_0021453,person_id_map,200403,2,25,4
jorge juan cano losa,pid_exact_0012852,person_id_map,200403,2,34,1
carlos alamo vidal,pid_exact_0004296,person_id_map,200403,2,34,2
jose javier lopez navarro,pid_exact_0013736,person_id_map,200403,2,34,3
jorge ruiz villena,pid_exact_0012931,person_id_map,200403,2,34,4
salvador ruiz sanchez,pid_exact_0028103,person_id_map,200403,2,49,1
jose felipe moncho frances,pid_exact_0013513,person_id_map,200403,2,49,2
vicente quirante lopez,pid_exact_0029768,person_id_map,200403,2,49,3
juan rodriguz amador,pid_exact_0016114,person_id_map,200403,2,49,4
ruben osuna lopez,pid_exact_0027927,person_id_map,200403,2,52,1
angel jose gaston davia,pid_exact_0002376,person_id_map,200403,2,52,2
pedro antonio rodriguz navarro,pid_exact_0025933,person_id_map,200403,2,52,3
manul jesus velando martinez,pid_exact_0018140,person_id_map,200403,2,52,4
maria pilar latorre fornier,pid_exact_0022308,person_id_map,200403,2,65,1
maria pilar ortiz gonzalez,pid_exact_0022330,person_id_map,200403,2,65,2
libertad de gloria simarro ortiz,pid_exact_0016935,person_id_map,200403,2,65,3
maria carmen de los santos lopez,pid_exact_0019292,person_id_map,200403,2,65,4
pedro bolivar reverte,pid_exact_0025949,person_id_map,200403,2,72,1
maria rosario gualda landete,pid_exact_0022491,person_id_map,200403,2,72,2
juan daniel carretero milla,pid_exact_0015508,person_id_map,200403,2,72,3
maria belen gonzalez megias,pid_exact_0019177,person_id_map,200403,2,72,4
raul pajas crespo,pid_exact_0027081,person_id_map,200403,2,90,1
luis de alvaro martin,pid_exact_0017375,person_id_map,200403,2,90,2
beatrice maria suarez pireddu,pid_exact_0003768,person_id_map,200403,2,90,3
juan purtas del barrio,pid_exact_0016077,person_id_map,200403,2,90,4
alfredo casquro algarra,pid_exact_0001083,person_id_map,200403,2,101,1
francisco jose cutillas cordon,pid_exact_0009246,person_id_map,200403,2,101,2
maria fernanda garcia garcia,pid_exact_0020911,person_id_map,200403,2,101,3
jose manul monfort calderon,pid_exact_0014214,person_id_map,200403,2,101,4
jesus gomez calcerrada suarez,pid_exact_0012049,person_id_map,200403,2,111,1
maria yolanda gomez gonzalez,pid_exact_0023016,person_id_map,200403,2,111,2
julio diaz diaz,pid_exact_0016452,person_id_map,200403,2,111,3
eusebio morales parra,pid_exact_0007876,person_id_map,200403,2,111,4
isabel maria pozo lopez,pid_exact_0011107,person_id_map,200403,2,117,1
migul maria blasco mas,pid_exact_0024146,person_id_map,200403,2,117,2
maria angeles estibalis moscardo estivalis,pid_exact_0018861,person_id_map,200403,2,117,3
jose luis galbis bernacer,pid_exact_0013897,person_id_map,200403,2,117,4
maria encarnacion naharro de mora,pid_exact_0020795,person_id_map,200403,2,130,1
hector esteve ferrer,pid_exact_0010259,person_id_map,200403,2,130,2
jose migul gonzalez moraga,pid_exact_0014535,person_id_map,200403,2,130,3
federico pozulo soler,pid_exact_0008126,person_id_map,200403,2,130,4
siro torres garcia,pid_exact_0028867,person_id_map,200403,2,146,1
maria pilar lopez rodriguz,pid_exact_0022312,person_id_map,200403,2,146,2
francisco belmonte romero,pid_exact_0008805,person_id_map,200403,2,146,3
guillermina claramonte valcarcel,pid_exact_0010112,person_id_map,200403,2,146,4
jose fernando sanchez infante,pid_exact_0013540,person_id_map,200403,2,151,1
maria de gracia diaz garcia,pid_exact_0019625,person_id_map,200403,2,151,2
manul rubio paredes,pid_exact_0018327,person_id_map,200403,2,151,3
rafala sanchez lopez,pid_exact_0026681,person_id_map,200403,2,151,4
jose manul dolon garcia,pid_exact_0014136,person_id_map,200403,3,14,1
serafina pomares i serrano,pid_exact_0028539,person_id_map,200403,3,14,2
vicent llobell i bertomeu,pid_exact_0029653,person_id_map,200403,3,14,3
