se_type,outcome_family,bandwidth,person_any_prv,person_same_prv,string_any_prv,string_same_prv,tau_diff_person_minus_string_same_prv,tau_diff_person_minus_string_any_prv
cluster_prv_election,runs,0.025,0.3246498386630864,0.3471111602607967,0.32635595965277153,0.34881728125048184,-0.0017061209896851448,-0.0017061209896851448
cluster_prv_election,runs,0.05,0.27171797605254355,0.2857873321463976,0.26992765899326854,0.2839970150871225,0.001790317059275126,0.001790317059275015
cluster_prv_election,runs,0.075,0.27419690728522883,0.2770446419130011,0.27159131694027594,0.27443905156804815,0.002605590344952946,0.0026055903449528905
cluster_prv_election,runs,0.1,0.2795797559452314,0.2762589869917928,0.2771449052101415,0.2740004217874105,0.002258565204382279,0.0024348507350898663
cluster_prv_election,wins,0.025,0.18306882473815686,0.1854935544967964,0.18477494572784198,0.1871996754864815,-0.001706120989685117,-0.001706120989685117
cluster_prv_election,wins,0.05,0.19208579028373157,0.18902831128755712,0.1902954732244565,0.18723799422828208,0.0017903170592750428,0.0017903170592750706
cluster_prv_election,wins,0.075,0.2137326323664964,0.20568065446044614,0.21141658015236184,0.20336460224631153,0.002316052214134612,0.0023160522141345563
cluster_prv_election,wins,0.1,0.24725640775036065,0.23753732889704318,0.24499893517333673,0.23527985632001922,0.0022574725770239668,0.0022574725770239112
cluster_prv_election_party,runs,0.025,0.3246498386630864,0.3471111602607967,0.32635595965277153,0.34881728125048184,-0.0017061209896851448,-0.0017061209896851448
cluster_prv_election_party,runs,0.05,0.27171797605254355,0.2857873321463976,0.26992765899326854,0.2839970150871225,0.001790317059275126,0.001790317059275015
cluster_prv_election_party,runs,0.075,0.27419690728522883,0.2770446419130011,0.27159131694027594,0.27443905156804815,0.002605590344952946,0.0026055903449528905
cluster_prv_election_party,runs,0.1,0.2795797559452314,0.2762589869917928,0.2771449052101415,0.2740004217874105,0.002258565204382279,0.0024348507350898663
cluster_prv_election_party,wins,0.025,0.18306882473815686,0.1854935544967964,0.18477494572784198,0.1871996754864815,-0.001706120989685117,-0.001706120989685117
cluster_prv_election_party,wins,0.05,0.19208579028373157,0.18902831128755712,0.1902954732244565,0.18723799422828208,0.0017903170592750428,0.0017903170592750706
cluster_prv_election_party,wins,0.075,0.2137326323664964,0.20568065446044614,0.21141658015236184,0.20336460224631153,0.002316052214134612,0.0023160522141345563
cluster_prv_election_party,wins,0.1,0.24725640775036065,0.23753732889704318,0.24499893517333673,0.23527985632001922,0.0022574725770239668,0.0022574725770239112
hc1,runs,0.025,0.3246498386630864,0.3471111602607967,0.32635595965277153,0.34881728125048184,-0.0017061209896851448,-0.0017061209896851448
hc1,runs,0.05,0.27171797605254355,0.2857873321463976,0.26992765899326854,0.2839970150871225,0.001790317059275126,0.001790317059275015
hc1,runs,0.075,0.27419690728522883,0.2770446419130011,0.27159131694027594,0.27443905156804815,0.002605590344952946,0.0026055903449528905
hc1,runs,0.1,0.2795797559452314,0.2762589869917928,0.2771449052101415,0.2740004217874105,0.002258565204382279,0.0024348507350898663
hc1,wins,0.025,0.18306882473815686,0.1854935544967964,0.18477494572784198,0.1871996754864815,-0.001706120989685117,-0.001706120989685117
hc1,wins,0.05,0.19208579028373157,0.18902831128755712,0.1902954732244565,0.18723799422828208,0.0017903170592750428,0.0017903170592750706
hc1,wins,0.075,0.2137326323664964,0.20568065446044614,0.21141658015236184,0.20336460224631153,0.002316052214134612,0.0023160522141345563
hc1,wins,0.1,0.24725640775036065,0.23753732889704318,0.24499893517333673,0.23527985632001922,0.0022574725770239668,0.0022574725770239112
