analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,outcome_family,definition
comparison,runs_next_any_prv,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.3492647058823529,0.6155913978494624,0.3240606859879446,0.06854900950861482,0.18899327485766138,0.4591280971182278,3.9725190641437536e-06,runs,person_any_prv
comparison,runs_next_any_prv,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.33428981348637016,0.6187845303867403,0.27092137425020146,0.05016898521336106,0.17219763618758144,0.3696451123128215,1.347329194878455e-07,runs,person_any_prv
comparison,runs_next_any_prv,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.31510322346975733,0.6103515625,0.2735259196116805,0.041376788806107206,0.19212947239719397,0.354922366826167,1.5457657376316547e-10,runs,person_any_prv
comparison,runs_next_any_prv,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.30982800982800984,0.6096997690531177,0.2792769656640973,0.03650164116736125,0.20747873168944161,0.351075199638753,2.0872192862952943e-13,runs,person_any_prv
comparison,runs_next_same_prv,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.06397928508986783,0.2207400903295839,0.47286675021863056,1.5034571387850804e-07,runs,person_same_prv
comparison,runs_next_same_prv,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.04826315568854369,0.19012547259886742,0.38007227419382145,9.342352891295036e-09,runs,person_same_prv
comparison,runs_next_same_prv,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.039621575798104304,0.19871003914393018,0.354597221115343,1.6107337685866696e-11,runs,person_same_prv
comparison,runs_next_same_prv,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.034325709067787556,0.20847667134966366,0.34351308133983594,1.509903313490213e-14,runs,person_same_prv
comparison,runs_next_string_any_prv,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.3492647058823529,0.6129032258064516,0.3257907567178183,0.06827193519666139,0.1912692865176014,0.46031222691803525,3.25122173538972e-06,runs,string_any_prv
comparison,runs_next_string_any_prv,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.33428981348637016,0.6174033149171271,0.2691050780280386,0.050355737860757456,0.17001384360555297,0.3681963124505243,1.7899537341214966e-07,runs,string_any_prv
