bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
0,0.025,-0.025,-0.023333333333333334,-0.02416666666666667,0.0016666666666666668,left,86,0.08190476190476191,49.14285714285714,-15,0,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
1,0.025,-0.023333333333333334,-0.021666666666666667,-0.0225,0.0016666666666666668,left,74,0.07047619047619047,42.28571428571428,-14,1,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
2,0.025,-0.021666666666666667,-0.02,-0.020833333333333336,0.0016666666666666668,left,74,0.07047619047619047,42.28571428571428,-13,2,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
3,0.025,-0.02,-0.018333333333333333,-0.019166666666666665,0.0016666666666666668,left,33,0.03142857142857143,18.857142857142854,-12,3,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
4,0.025,-0.018333333333333333,-0.01666666666666667,-0.0175,0.0016666666666666668,left,38,0.03619047619047619,21.71428571428571,-11,4,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
5,0.025,-0.01666666666666667,-0.015000000000000001,-0.015833333333333335,0.0016666666666666668,left,40,0.0380952380952381,22.857142857142854,-10,5,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
6,0.025,-0.015000000000000001,-0.013333333333333334,-0.014166666666666668,0.0016666666666666668,left,28,0.02666666666666667,15.999999999999998,-9,6,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
7,0.025,-0.013333333333333334,-0.011666666666666667,-0.0125,0.0016666666666666668,left,37,0.035238095238095235,21.14285714285714,-8,7,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
8,0.025,-0.011666666666666667,-0.01,-0.010833333333333334,0.0016666666666666668,left,32,0.030476190476190476,18.285714285714285,-7,8,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
9,0.025,-0.01,-0.008333333333333335,-0.009166666666666667,0.0016666666666666668,left,22,0.02095238095238095,12.57142857142857,-6,9,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
10,0.025,-0.008333333333333335,-0.006666666666666668,-0.0075000000000000015,0.0016666666666666668,left,35,0.03333333333333333,19.999999999999996,-5,10,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
11,0.025,-0.006666666666666668,-0.005000000000000001,-0.0058333333333333345,0.0016666666666666668,left,21,0.02,11.999999999999998,-4,11,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
12,0.025,-0.005000000000000001,-0.003333333333333334,-0.0041666666666666675,0.0016666666666666668,left,43,0.040952380952380955,24.57142857142857,-3,12,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
13,0.025,-0.003333333333333334,-0.001666666666666667,-0.0025000000000000005,0.0016666666666666668,left,26,0.024761904761904763,14.857142857142856,-2,13,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
14,0.025,-0.001666666666666667,0.0,-0.0008333333333333335,0.0016666666666666668,left,27,0.025714285714285714,15.428571428571427,-1,14,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
15,0.025,0.0,0.001666666666666667,0.0008333333333333335,0.0016666666666666668,right,27,0.025714285714285714,15.428571428571427,1,0,1.0,1.0,0.0,1,0.11871589169380314,0.16858212131090167,0.48130689445899955,1.1260499526933108
