bandwidth,candidate,election_ym,prv_code,p_code,list_pos,running_variable,elected_dta
0.025,fernando tomas de paramo gomez,201911,8,19,2,0.0046170087673592,0.0
0.025,jose maria espejo saavedra conesa,201911,8,19,3,-0.0155304163073405,1.0
0.025,maria del carmen gonzalez guinda,201911,24,83,2,-0.0164231530320107,1.0
0.025,edmundo bal frances,201911,28,18,4,-0.0062722125165558,1.0
0.025,marta maria higuras garrobo,201911,28,46,2,0.0053686304082885,0.0
0.025,ines sabanes nadal,201911,28,46,3,-0.0127460720942011,1.0
0.05,fernando tomas de paramo gomez,201911,8,19,2,0.0046170087673592,0.0
0.05,jose maria espejo saavedra conesa,201911,8,19,3,-0.0155304163073405,1.0
0.05,maria del carmen gonzalez guinda,201911,24,83,2,-0.0164231530320107,1.0
0.05,albert rivera diaz,201911,28,18,1,0.0438017972941925,0.0
0.05,edmundo bal frances,201911,28,18,4,-0.0062722125165558,1.0
0.05,marta maria higuras garrobo,201911,28,46,2,0.0053686304082885,0.0
0.05,ines sabanes nadal,201911,28,46,3,-0.0127460720942011,1.0
0.05,jose maria vazquz alvarez,201911,35,116,1,0.0311920702329166,0.0
0.05,andres alberto rodriguz almeida,201911,35,116,2,-0.0338832743699869,1.0
0.05,ivan espinosa de los monteros de simon,202307,28,6,3,0.0488106562446107,0.0
0.05,carla toscano de balbin,202307,28,6,7,-0.0276730108041613,1.0
0.075,fernando tomas de paramo gomez,201911,8,19,2,0.0046170087673592,0.0
0.075,jose maria espejo saavedra conesa,201911,8,19,3,-0.0155304163073405,1.0
0.075,maria del carmen gonzalez guinda,201911,24,83,2,-0.0164231530320107,1.0
0.075,albert rivera diaz,201911,28,18,1,0.0438017972941925,0.0
0.075,edmundo bal frances,201911,28,18,4,-0.0062722125165558,1.0
0.075,marta maria higuras garrobo,201911,28,46,2,0.0053686304082885,0.0
0.075,ines sabanes nadal,201911,28,46,3,-0.0127460720942011,1.0
0.075,jose maria vazquz alvarez,201911,35,116,1,0.0311920702329166,0.0
0.075,andres alberto rodriguz almeida,201911,35,116,2,-0.0338832743699869,1.0
0.075,ivan espinosa de los monteros de simon,202307,28,6,3,0.0488106562446107,0.0
0.075,carla toscano de balbin,202307,28,6,7,-0.0276730108041613,1.0
0.1,fernando tomas de paramo gomez,201911,8,19,2,0.0046170087673592,0.0
0.1,jose maria espejo saavedra conesa,201911,8,19,3,-0.0155304163073405,1.0
0.1,maria del carmen gonzalez guinda,201911,24,83,2,-0.0164231530320107,1.0
0.1,albert rivera diaz,201911,28,18,1,0.0438017972941925,0.0
0.1,edmundo bal frances,201911,28,18,4,-0.0062722125165558,1.0
0.1,marta maria higuras garrobo,201911,28,46,2,0.0053686304082885,0.0
0.1,ines sabanes nadal,201911,28,46,3,-0.0127460720942011,1.0
0.1,jose maria vazquz alvarez,201911,35,116,1,0.0311920702329166,0.0
0.1,andres alberto rodriguz almeida,201911,35,116,2,-0.0338832743699869,1.0
0.1,ivan espinosa de los monteros de simon,202307,28,6,3,0.0488106562446107,0.0
0.1,carla toscano de balbin,202307,28,6,7,-0.0276730108041613,1.0
