outcome,bandwidth,donut_radius,tau,se,p_value,significance,n_window
runs_next,0.025,0.001,0.332007741812746,0.0730025563995814,8.715710667628329e-06,***,898
runs_next,0.025,0.0025,0.2142185799069356,0.0863959031868702,0.0138776907112383,*,857
runs_next,0.025,0.005,0.2333593701184357,0.1118268043548317,0.0380381604852992,*,768
runs_next,0.05,0.001,0.2728647165358264,0.0501692858021837,1.0962893459698365e-07,***,2101
runs_next,0.05,0.0025,0.214983811528113,0.0559786040772089,0.0001493694644054,***,2060
runs_next,0.05,0.005,0.2194764096395334,0.0617288963543121,0.0004373540734132,***,1971
runs_next,0.075,0.001,0.2684250467318048,0.0398880968112385,7.42121919472538e-11,***,3774
runs_next,0.075,0.0025,0.2332779206700569,0.0435727985075177,1.6082290854591008e-07,***,3733
runs_next,0.075,0.005,0.2380756561594712,0.0461308836388544,4.233516737173204e-07,***,3644
runs_next,0.1,0.001,0.2699395491990305,0.0343102769274579,4.6407322429331543e-14,***,5365
runs_next,0.1,0.0025,0.2450474351945215,0.0367698715885609,1.0462142263634178e-10,***,5324
runs_next,0.1,0.005,0.2494829042066774,0.0384992701577648,3.1432323410740537e-10,***,5235
wins_next,0.025,0.001,0.1181515665763386,0.0684407003016359,0.0856127210813308,,898
wins_next,0.025,0.0025,0.1246965150424395,0.0790073571272953,0.1158793475033603,,857
wins_next,0.025,0.005,0.0640082391002597,0.0987623353552066,0.5175816240759508,,768
wins_next,0.05,0.001,0.1584117317696361,0.0474145170788331,0.0009378913383342,***,2101
wins_next,0.05,0.0025,0.1663056273853744,0.0506597629186646,0.0011472492401176,**,2060
wins_next,0.05,0.005,0.1667176315124939,0.0560125532453586,0.0031504777347104,**,1971
wins_next,0.075,0.001,0.1870500019449343,0.0367445725758782,5.974512653494912e-07,***,3774
wins_next,0.075,0.0025,0.1942258245669001,0.0382291339400216,6.282376683319768e-07,***,3733
wins_next,0.075,0.005,0.2018501731511144,0.0403214829773724,9.023219069703714e-07,***,3644
wins_next,0.1,0.001,0.225256141274322,0.0317555040662973,7.393197165583842e-12,***,5365
wins_next,0.1,0.0025,0.2329527525274349,0.0326182629154496,5.444755757366693e-12,***,5324
wins_next,0.1,0.005,0.2444787207905709,0.0334652877828667,1.912026093009445e-12,***,5235
